category,alcohol_100g,brands,brands_tags,carbohydrates_100g,categories,categories_tags,code,countries,countries_tags,energy-kcal_100g,energy-kj_100g,fat_100g,fiber_100g,ingredients_text,no_nutrition_data,nova_group,nutriscore_grade,nutriscore_score,origins,origins_tags,product_name,proteins_100g,quantity,salt_100g,saturated-fat_100g,serving_size,sodium_100g,sugars_100g,fruits-vegetables-nuts_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-a_100g,vitamin-d_100g,iron_100g,calcium_100g,pantothenic-acid_100g,vitamin-pp_100g,potassium_100g,fruits-vegetables-nuts-dried_100g,caffeine_100g,vitamin-b12_100g,vitamin-c_100g
snacks,,J. D. Gross,['j-d-gross'],21.4,"Snacks,Zoete snacks,Cacao en afgeleide producten,Chocoladeproducten,Pure chocolades","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates']",20995553,"Oostenrijk,België,Estland,Finland,Frankrijk,Duitsland,Italië,Litouwen,Slowakije,Slovenië,Spanje,Verenigd Koninkrijk","['en:austria', 'en:belgium', 'en:estonia', 'en:finland', 'en:france', 'en:germany', 'en:italy', 'en:lithuania', 'en:slovakia', 'en:slovenia', 'en:spain', 'en:united-kingdom']",579.0,2395.0,46.8,14.5,"Cocoa Mass, Fat Reduced Cocoa Powder, Cocoa Butter, Sugar, _Soya_ Lecithins, Vanilla Extract",,4.0,d,14,,[],Dark Chocolate - 85% Cocoa,10.8,125 g,0.03,28.2,12.5 g,0.012,12.9,,,,,,,,,,,,,,
snacks,,Fin Carré,['fin-carre'],32.0,"Закуски, Сладки закуски, Какаови изделия, Шоколади, Тъмен шоколад, en:Cacao-et-derives, en:Chocolats, en:Chocolats-noirs, en:Chocolats-noirs-extra-fin","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:cacao-et-derives', 'en:chocolats', 'en:chocolats-noirs', 'en:chocolats-noirs-extra-fin']",20022464,"Belgium,Bulgaria,Finland,Germany,Netherlands,Poland,Spain,Czech Republic","['en:belgium', 'en:bulgaria', 'en:czech-republic', 'en:finland', 'en:germany', 'en:netherlands', 'en:poland', 'en:spain']",571.0,2367.0,42.0,,"cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,",,4.0,e,22,,[],Extra dark chocolate 74% cacao,9.9,100 g ℮,0.02,26.0,20g,0.008,26.0,,,,,,,,,,,,,,
snacks,,Le pain des Fleurs,['le-pain-des-fleurs'],75.0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Tartines craquantes extrudées","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:extruded-crispbreads']",6175700,"Belgium,France,Netherlands,Senegal","['en:belgium', 'en:france', 'en:netherlands', 'en:senegal']",388.0,1631.0,2.8,4.4,"Farine de riz*, sucre de canne blond**, cacao en poudre** (6,3%). *issu de l'agriculture biologique. **ingrédients biologiques issus du Commerce Équitable.",,3.0,a,-2,France,['en:france'],Tartines croquantes au sarrasin,13.4,160 g,0.68,0.6,100g,0.272,2.6,,,,,,0.0038,,,,,,,,
snacks,,"Milka,Mondelez","['milka', 'mondelez']",57.0,"Snacks, Zoete snacks, Cacao en afgeleide producten, Chocoladeproducten, Melkchocoladen, en:Milk chocolate bar, en:Cacao en afgeleide producten, en:Chocoladeproducten, en:Melkchocoladen, en:Zoete snacks","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:milk-chocolates', 'en:milk-chocolate-bar', 'en:cacao-en-afgeleide-producten', 'en:chocoladeproducten', 'en:melkchocoladen', 'en:zoete-snacks']",3045140105502,"Austria,República Checa,Francia,Alemania,Hungría,España","['en:austria', 'en:czech-republic', 'en:france', 'en:germany', 'en:hungary', 'en:spain']",539.0,2251.0,31.0,2.3,"Sucre, beurre de cacao, pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), pâte de NOISETTE, arôme.",null,4.0,e,25,No especificado,['en:unspecified'],Milka Lait Alpin,6.5,100g,0.28,19.0,16.7 g,0.112,55.0,,,,,,,,,,,,,,
snacks,,La Fournée Dorée,['la-fournee-doree'],48.0,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Brioches,Gâches,Brioches pur beurre,Brioches tranchées,Brioches tranchées pur beurre","['en:snacks', 'en:sweet-snacks', 'en:sweet-pastries-and-pies', 'en:viennoiseries', 'en:brioches', 'fr:gaches', 'en:pure-butter-brioche', 'fr:brioches-tranchees', 'fr:brioches-tranchees-pur-beurre']",3587220002252,"France,Allemagne,Suisse","['en:france', 'en:germany', 'en:switzerland']",345.0,1448.0,13.0,,"Farine de _blé_ 52%, sucre, _beurre_ frais 10%, _œufs_ entiers frais 8%, eau, _crème_ fraîche 3%, sel, arômes naturels (contient alcool), levure, gluten de _blé_, eau de vie, émulsifiant (E471), protéines de _lait_, levure désactivée, colorant (béta carotène)",null,4.0,d,18,Union européenne,['en:european-union'],La gâche tranchée,8.0,500 g,1.09,8.8,16 g,0.436,12.0,,,,,,,,,,,,,,
snacks,,"LU,Mondelez","['lu', 'mondelez']",66.0,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:chocolate-biscuits']",7622210713780,"Belgium,France,Guadeloupe,Luxembourg,Belgique,La-reunion,Suisse","['en:belgium', 'en:france', 'en:guadeloupe', 'en:luxembourg', 'en:belgique', 'en:la-reunion', 'en:suisse']",439.0,1846.0,14.0,6.8,"Céréales 56,8 % [céréales complètes 39,8 % (farine complète de BLÉ 20,1 %, flocons d'AVOINE 8,8 %, farine complète d'ORGE 6,4 %, farine complète de SEIGLE 3,5 %, farine complète d'épeautre (BLÉ) 1 %), farine de BLÉ 17 %), sucre, pépites de chocolat 12% [sucre, pâte de cacao, graisses végétales (palme, karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de SOJA)], huile de colza, cacao maigre en poudre 3 %, amidon de BLÉ, poudres à lever (carbonates d'ammonium, diphosphates, carbonates de sodium), minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), émulsifiants (lécithines de SOJA, E492, E472e), sel, arôme, LAIT écrémé en poudre.",,4.0,c,10,,[],Belvita Petit Déjeuner Chocolat,7.9,400 g,0.62,3.6,12.5 g,0.248,27.0,,,,,,0.0078,0.284,,,,,,,
snacks,,LU,['lu'],78.0,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Extruded crispbreads","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:snacks', 'en:cereals-and-potatoes', 'en:extruded-crispbreads']",3041090063114,"Belgium,France,Luxembourg,Switzerland,Netherlands","['en:belgium', 'en:france', 'en:luxembourg', 'en:netherlands', 'en:switzerland']",387.0,1642.0,2.7,3.0,"cereals to 97.8 % (wheat flour 97,3 %, rye flour ), sugar, whey powder (milk ), palm oil, salt, mineral (diphosphate ferric), emulsifier (sunflower lecithin)",,4.0,c,9,"Francia,fr:Blé france","['en:france', 'fr:ble-france']","Lu - Cracotte Original Wheat Slices, 250g (8.8oz)",11.0,250 g (2 × 18),1.7,1.0,"36,75",0.68,7.9,,,,,,0.0044,,,,,,,,
snacks,,Lindt,['lindt'],34.0,"Lanches comida,Lanches doces,Cacau e derivados,Chocolates,Chocolates amargos,en:Dark chocolate bar with more than 70% cocoa,en:Extra fine dark chocolates","['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar-with-more-than-70-cocoa', 'en:extra-fine-dark-chocolates']",3046920028004,"Austrália,Bélgica,Canadá,República Checa,Dinamarca,Estónia,França,Alemanha,Hungria,República da Irlanda,Itália,Líbano,Marrocos,Países Baixos,Portugal,Sérvia,Espanha,Suíça,Reino Unido","['en:australia', 'en:belgium', 'en:canada', 'en:czech-republic', 'en:denmark', 'en:estonia', 'en:france', 'en:germany', 'en:hungary', 'en:ireland', 'en:italy', 'en:lebanon', 'en:morocco', 'en:netherlands', 'en:portugal', 'en:serbia', 'en:spain', 'en:switzerland', 'en:united-kingdom']",566.0,2350.0,41.0,,"cocoa mass (70%), sugar, cocoa butter, vanilla",,3.0,e,23,,[],70% Cocoa Intense Dark Chocolate Bar,9.5,100 g,0.1,24.0,,0.04,30.0,,,,,,,,,,,,,,
snacks,,"LU,Mondelez","['lu', 'mondelez']",73.0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits fourrés, Biscuits sec fourré à la pâte de fruits","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:filled-biscuits', 'en:biscuit-filled-with-fruit-paste']",7622201133337,"France,Guadeloupe","['en:france', 'en:guadeloupe']",399.0,1670.0,8.1,3.3,"Farine de blé 34 %, pâte de figues 26 %, sucre, huile de palme, sirop de glucose-fructose, sirop de glucose, sirop de sucre partiellement inverti, sel, poudres à lever (carbonates de sodium, carbonates d'ammonium), correcteur d'acidité (acide citrique). Peut contenir lait.",,4.0,d,15,Non indiqué,['en:unspecified'],Figolu,4.6,192 g (12 x 16 g),0.39,3.7,32 g,0.156,49.0,,,,,,,,,,,,,,
snacks,0.0,"Nestlé,Nestlé Dessert","['nestle', 'nestle-dessert']",50.7,"Snacks, Desserts, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar for cooking with more than 40% cocoa, Tablette de chocolat au lait","['en:snacks', 'en:desserts', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:dark-chocolates', 'en:dark-chocolate-bar-for-cooking-with-more-than-40-cocoa', 'en:tablette-de-chocolat-au-lait']",7613035040823,"Belgien,Frankreich,Deutschland,Réunion,Schweiz","['en:belgium', 'en:france', 'en:germany', 'en:reunion', 'en:switzerland']",548.0,2285.0,34.1,7.3,"sugar, cocoa paste, cocoa butter, emulsifier sunflower lecithin, natural vanilla aroma madagascar, cocoa: 52% minimum, may contain: nuts, milk,",,4.0,e,21,"Madagascar,en:Afrique,en:Amérique du Sud","['en:madagascar', 'en:afrique', 'en:amerique-du-sud']",Nestlé Dessert,6.0,205g,0.01,20.2,25g,0.004,46.4,,,,,,,,,,,,,,
snacks,,LU,['lu'],63.0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits sablés, Biscuits nappés au chocolat, Sablés nappés de chocolat, Sablés au chocolat","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:chocolate-biscuits', 'en:shortbread-cookies', 'en:biscuit-with-chocolate-covering', 'en:digestives-covered-with-chocolate', 'en:shortbread-cookie-with-chocolate']",7622210601988,"Belgium,France,Martinique,Réunion,Switzerland,United States","['en:belgium', 'en:france', 'en:martinique', 'en:reunion', 'en:switzerland', 'en:united-states']",184.0,2072.0,24.0,3.0,"Farine de _blé_ 48 %, chocolat au lait 27 %, [sucre, pâte de cacao, beurre de cacao, lactosérum en poudre (de _lait_, _lait_ écrémé en poudre, graisses végétales (palme, karité en proportions variables), _beurre_ concentré, émulsifiants (lécithines de _soja_, E476), lactose (de _lait_), arome], huiles végétales (palme, coprah), sucre, sirop de sucre, son de _blé_, poudre à lever (carbonates de sodium, carbonates d'ammonium), sel, germes de _blé_, correcteur d'acidité (acide citrique),

Peut contenir œufs, fruits à coque, sésame.",,4.0,e,24,France,['en:france'],Granola,6.0,200 g e,1.2,12.0,100g,0.48,28.0,,,,,,,,,,,,,,
snacks,,"Belin,Mondelez","['belin', 'mondelez']",45.0,"Snacks,Snacks salés,Amuse-gueules,Biscuits apéritifs","['en:snacks', 'en:salty-snacks', 'en:appetizers', 'en:crackers']",7622210998095,"Belgique,France,La Réunion,Suisse","['en:belgium', 'en:france', 'en:reunion', 'en:switzerland']",553.0,2303.0,36.0,2.4,"Farine de _blé_ 56,1 %, huiles végétales (palme et colza), _emmental_ râpé séché 17 %, sucre, sel, sirop de glucose-fructose, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium), farine d'_orge_ malté, lactosérum en poudre (de _lait_), levure sèche, émulsifiant (lécithine de _soja_),",,4.0,e,24,Farine de blé origine France,['fr:farine-de-ble-origine-france'],Monaco,12.0,100 g,2.1,18.0,25g,0.84,5.6,,,,,,,,,,,,,,
snacks,,Pasquier,['pasquier'],55.0,"fr:produit inconnu, en:milk-bread-rolls","['en:snacks', 'en:sweet-snacks', 'en:sweet-pastries-and-pies', 'en:viennoiseries', 'en:milk-bread-rolls', 'fr:produit-inconnu']",3256540000698,"Belgique,France,Suisse,Royaume-Uni,États-Unis","['en:belgium', 'en:france', 'en:switzerland', 'en:united-kingdom', 'en:united-states']",353.0,1485.0,11.0,3.5,"Farine de _blé_ 43%, Levain 21% (Farine de _blé_ 11%, Eau, Sel), Sucre, _Œufs_ frais 11%, _Beurre_ pâtissier, Huile de colza, Levure, _Lait_ écrémé en poudre (Équivalent à 10% de lait écrémé reconstitué), Émulsifiant: mono et diglycérides d'acides gras, Sel, Protéines de _blé_, _Gluten_ de blé, Extrait de carotte, Agent de traitement de la farine : acide ascorbique, Protéines de _lait_",,4.0,c,10,France,['en:france'],Pains au lait x10,8.6,350 g,1.1,4.0,35g,0.44,11.0,,,,,,,,,,,,,,
snacks,,BN,['bn'],69.0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits fourrés","['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:chocolate-biscuits', 'en:filled-biscuits']",3061990143365,"Belgique,France,La Réunion,Suisse","['en:belgium', 'en:france', 'en:reunion', 'en:switzerland']",463.0,1944.0,17.0,3.9,"Céréales [farine de froment (33%), céréales complètes (15,1%) (farine complète de froment (15%), farine complète de seigle, farine complète d'orge)] - sucre - matières grasses végétales (palme, palmiste, colza) - cacao maigre (4,7%) - amidons (blé) - sirop de glucose - poudres à lever : carbonates d'ammonium et de sodium - sel - lait écrémé en poudre - perméat de lactosérum en poudre (lait) - émulsifiant : lécithines de tournesol - arômes.",,4.0,d,17,Fabriqué en France à vertou près de Nantes,['fr:fabrique-en-france-a-vertou-pres-de-nantes'],Biscuits goût chocolat,6.5,285 g,0.47,8.6,"18,1g",0.188,30.0,,,,,,,,,,,,,,
snacks,0.0,LU,['lu'],67.0,"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux","['en:snacks', 'en:breakfasts', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:chocolate-biscuits', 'en:dry-biscuits', 'en:breakfast-biscuit-with-cereals-fortified-with-vitamins-and-chemical-elements']",7622210713889,"Belgique,France,Polynésie française,La Réunion,Suisse","['en:belgium', 'en:france', 'en:french-polynesia', 'en:reunion', 'en:switzerland']",444.0,1864.0,15.0,5.7,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %], sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)l, miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates sodium, de diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre. Peut contenir œuf, fruits à coque, sésame.",,4.0,d,11,Non indiqué,['en:unspecified'],Belvita Original Petit-Déjeuner miel et pépites de chocolat,7.3,435 g,0.69,2.5,13.6g,0.276,28.0,,,,,,0.0047,0.267,,,,,,,
